Name,Full Address,Phone,Website,Email,Category - Bar/Restaurant / Wholesaler / Hotel / Retail Shop
The Orange ,"36–38 High St, Richmond TW9 1EW",,https://www.cubitthouse.co.uk/the-orange-boutique-hotel-belgravia/,,Pub / Hotel
The Alfred Tennyson,"10 Motcomb Street, London SW1X 8LA",,https://www.thealfredtennyson.co.uk,,Pub
The Barley Mow ,"Watson Rd, London SW6 2TF",,https://www.cubitthouse.co.uk/the-barley-mow-mayfair/,,Pub
The Builder Arms ,"8 Mackenzie Rd, London SE15 3EZ",,https://www.thebuildersarmskensington.co.uk/#/,,Pub
The Bloomsbury Hotel,"16–22 Great Russell Street, London WC1B 3NN. ",,https://www.doylecollection.com/hotels/the-bloomsbury-hotel,,Hotel
"The Langham, London","1c Portland Place, Regent Street, London W1B 1JA ",,https://www.langhamhotels.com/en/the-langham/london/ ,,Hotel
Hutong ,"Level 33, The Shard, 31 St Thomas Street, London SE1 9RY ",,https://hutong.co.uk/ ,,Restaurant
Ikoyi,"180 Strand, London WC2R 1EA ",,https://www.ikoyilondon.com/ ,,Restaurant
Tamarind of Mayfair,"20 Queen Street, London W1J 5PR ",,https://www.tamarindrestaurant.com/ ,,Restaurant
KOL ,"9 Seymour Street, London W1H 7BA",,https://kolrestaurant.com,,Restaurant
Lahpet Soho,"21 Slingsby Place, London WC2E 9AB",,https://lahpet.co.uk,,Restaurant
Lina Stores ,"51 Greek Street, Soho, London W1D 4EH ",,https://www.linastores.co.uk/ ,,Restaurant / Retail
Lina Stores ,"20 Stable Street, King’s Cross, London N1C 4DR ",,https://www.linastores.co.uk/ ,,Restaurant / Retail
Lina Stores ,"180–182 Shoreditch High Street, London E1 6HY ",,https://www.linastores.co.uk/ ,,Restaurant / Retail
Lina Stores South Kensington,"15 Exhibition Rd, South Kensington, London SW7 2HE. ",,https://www.linastores.co.uk/locations/south-kensington,,Restaurant / Retail
Louie London,"13–15 West Street, London WC2H 9NE ",,https://louierestaurant.com/ ,,Restaurant
Malt ,"Arch 46, Ropewalk, Maltby Street, London SE1 3PA",,https://www.maltbymarket.com/traders/malt,,Bar
Meraki,"80–82 Great Titchfield St, Fitzrovia, London W1W 7QT. ",,https://meraki-restaurant.com/london/,,Restaurant
The Grazing Goat,"6 New Quebec Street, London W1H 7RQ. ",,https://www.cubitthouse.co.uk/the-grazing-goat-boutique-hotel-marylebone/,,Pub / Hotel
Muse ,"38 Groom Place, Belgravia, London SW1X 7BA. ",,https://musebytomaikens.co.uk/,,Restaurant
Raffles London at The OWO,"Whitehall, London SW1A 2BX ",,https://www.raffles.com/london/ ,,Hotel
The Marylebone Hotel,"47 Welbeck St, London W1G 8DN. ",,https://www.doylecollection.com/hotels/the-marylebone-hotel ,,Hotel
The Drop Wine Bar Ltd,"Arch 16, Temperance Yard, London SE1 3TQ",,https://www.thedropbar.co.uk/,,Bar
W Leicester Square Ltd ,"10 Wardour St, London W1D 6EQ",,https://www.marriott.com/hotels/,,Hotel
Clarette,"44 Blandford Street, London W1U 7HS ",,https://www.clarettelondon.com/ ,,Wine Bar
Kioku ,"23–27 Brewer St, London W1F 9UD",,https://kiokubyendo.com/,,Restaurant
Lilibet’s,"13 New Cavendish St, London W1G 7LW",,https://www.lilibetsrestaurant.com/,,Café / Restaurant
J Sheeky – Caprice,"28–32 St Martin’s Ct, London WC2N 4AL",,https://caprice-holdings.co.uk/venues/j-sheeky/,,Restaurant
Sussex Soho Ltd ,"13-15 Broadwick St, Soho, London W1F 0DL",,https://www.sussex-restaurant.com/,,Restaurant
The Hoxton  Ltd,"51–53 Blackfriars Rd, London SE1 8PB",,https://thehoxton.com/southwark,,Hotel
Soho Caffe Limited,"38 Frith St, London W1D 4SD",,https://sohocoffee.com/,,Restaurant
Casa do Frango ,"32 Southwark Street, London SE1 1TU ",,https://casadofrango.co.uk/ ,,Restaurant
Bar Dona,"6 Rathbone Pl, London W1T 1HJ",,https://bardonalondon.com/,,Bar
34 Mayfair,"34 Grosvenor Square , London W1K 2HD. ",,https://34-restaurant.co.uk/,,Restaurant
Bacchanalia,"1 Mount Street, London W1K 3NA. ",,https://bacchanalia.co.uk/ ,,Restaurant
Daphne’s,"112 Draycott Ave, London SW3 3AE. ",,https://daphnes-restaurant.co.uk/ ,,Restaurant
Charlotte Street Hotel ,"15–17 Charlotte Street, London W1T 1RJ ",,https://www.firmdalehotels.com/hotels/charlotte-street-hotel ,,Hotel
Covent Garden Hotel ,"10 Monmouth Street, London WC2H 9HB ",,https://www.firmdalehotels.com/hotels/covent-garden-hotel ,,Hotel
Dabbling Duck,"Queens Head Yard, Salisbury SP1 3UT",,https://www.thedabblingduck.co.uk/,,Pub / Restaurant
Dorset Square Hotel – Firmdale,"39–40 Dorset Square, London NW1 6QN. ",,https://www.firmdalehotels.com/hotels/dorset-square-hotel,,Hotel
Good Spirits Co – Glasgow,"23 Bath Street, Glasgow G2 1HW. ",,https://thegoodspiritsco.com/,,Retail 
Ham Yard Hotel ,"1 Ham Yard, London W1D 7DT ",,https://www.firmdalehotels.com/hotels/ham-yard-hotel ,,Hotel
